,Name,bhandhlyp-d3bj-DFT-forward,bhandhlyp-d3bj-DFT-reverse,bhandhlyp-d3bj-DFT-reaction,cam-b3lyp-DFT-forward,cam-b3lyp-DFT-reverse,cam-b3lyp-DFT-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DFT-reaction,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction,b3lyp-DFT-forward,b3lyp-DFT-reverse,b3lyp-DFT-reaction,bhandhlyp-DFT-forward,bhandhlyp-DFT-reverse,bhandhlyp-DFT-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DFT-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DFT-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
45,rxn_2310,20.181,54.149,-33.968,28.562,52.275,-23.713,19.102,52.509,-33.407,28.613,34.83,-6.217,29.157,43.005,-13.848,32.261,53.131,-20.87,9.808,36.479,-26.671,13.523,44.31,-30.787,22.453000000000003,8.21257602595817,19.319000000000003,7.795065893609514,27.751000000000005,9.779238758534765
46,rxn_2326,25.318,55.459,-30.141,33.796,54.138,-20.342,23.857,53.775,-29.918,36.026,38.702,-2.676,35.948,46.213,-10.265,38.576,55.693,-17.117,15.332,38.399,-23.067,18.802,45.935,-27.133,23.244,8.789619647832973,17.293999999999997,7.266438246191477,27.464999999999996,9.745023285723112
47,rxn_2334,17.748,56.034,-38.286,25.141,54.705,-29.564,16.48,53.922,-37.442,27.714,38.523,-10.808,27.427,46.637,-19.21,29.582,56.927,-27.346,9.23,37.143,-27.912,12.142,45.481,-33.34,20.352,7.786268003900933,19.784,7.897082680151122,27.478,9.251858670404713
48,rxn_2468,25.649,53.052,-27.403,33.758,51.995,-18.237,24.212,51.538,-27.327,35.523,36.496,-0.973,35.619,43.964,-8.345,38.476,53.402,-14.925,15.463,36.0,-20.537,19.01,43.527,-24.517,23.012999999999998,8.566528981198527,17.402,7.282363563529945,26.43,9.385321609528663
49,rxn_2473,11.369,55.071,-43.702,19.098,54.447,-35.349,10.224,53.443,-43.219,21.291,39.823,-18.531,20.825,47.013,-26.188,22.787,56.239,-33.452,3.717,38.055,-34.338,6.178,45.527,-39.348,19.07,7.459631826179014,18.183999999999997,7.151235972094014,25.171,8.533178999604177
50,rxn_2482,16.71,54.239,-37.529,24.327,53.409,-29.082,15.674,52.582,-36.908,27.641,38.315,-10.674,26.909,45.721,-18.812,28.583,55.247,-26.664,9.081,36.738,-27.656,11.567,44.411,-32.844,19.502,7.730811711216727,18.509,7.3582799377882555,26.855000000000004,9.098411532279375
51,rxn_2517,22.779,53.85,-31.071,31.766,52.677,-20.911,21.467,52.266,-30.799,33.475,36.862,-3.387,33.468,44.418,-10.95,36.087,53.885,-17.798,12.803,36.872,-24.069,16.282,44.377,-28.095,23.284000000000002,8.83307276154308,17.022999999999996,7.3007679133773316,27.684,9.845799844168505
52,rxn_2530,18.286,55.984,-37.698,26.37,54.34,-27.97,16.993,54.114,-37.121,29.356,38.226,-8.869,28.882,46.161,-17.278,30.856,56.184,-25.328,9.805,37.927,-28.122,12.679,45.907,-33.228,21.051000000000002,8.215838500594883,18.256999999999998,7.654371784197204,28.829,9.884309481626495
53,rxn_2645,16.01,53.323,-37.313,22.688,52.078,-29.39,15.083,51.487,-36.405,25.011,36.021,-11.01,24.57,43.882,-19.313,26.569,53.97,-27.401,8.477,35.019,-26.542,10.922,43.044,-32.122,18.092,6.942906096976148,18.951,7.722862829658073,26.303000000000004,8.786124287761927
54,rxn_2672,14.897,55.423,-40.525,23.79,54.676,-30.885,13.903,53.655,-39.752,27.218,39.616,-12.399,26.39,47.073,-20.683,28.031,56.666,-28.636,6.762,37.666,-30.904,9.437,45.451,-36.014,21.269,8.538780592098616,19.0,7.429120727630848,28.125999999999998,9.577524669021443
