,Type,rxn_smiles
54,Diels-Alder,CSC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>CS[C@H]1C=C[C@@H](F)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
55,Diels-Alder,C=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC=C[C@@H](F)[C@@H]12
56,Diels-Alder,C=CC(C)=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C(C)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
57,Diels-Alder,C=CC(F)=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C(F)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
58,Diels-Alder,C=CC(=COC)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1OC
59,Diels-Alder,C=CC(O)=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C(O)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
60,Diels-Alder,C=CC(C#N)=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C(C#N)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
61,Diels-Alder,C=CC(=COC)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1OC
62,Diels-Alder,C=CC(=COC)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C(OC(C)=O)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
63,Diels-Alder,C=CC(=COC)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1OC
64,Diels-Alder,C=CC(=COC)SC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C(SC)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
65,Diels-Alder,C=C(C)C=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C(C)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
66,Diels-Alder,C=C(F)C=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C(F)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
