,Type,rxn_smiles
116,Diels-Alder,COC(=O)C(=COC(C)=O)OC(C)=O.COC(=O)c1ccoc1>>COC(=O)C1=C[C@@H]2O[C@H]1[C@@](OC(C)=O)(C(=O)OC)[C@@H]2OC(C)=O
117,Diels-Alder,CC(=O)OC=C(OC(C)=O)OC(C)=O.CC(=O)Oc1ccoc1>>CC(=O)OC1=C[C@@H]2O[C@H]1C(OC(C)=O)(OC(C)=O)[C@@H]2OC(C)=O
118,Diels-Alder,CC(=O)OC=C(OC(C)=O)C(C)(C)C.CC(C)(C)c1ccoc1>>CC(=O)O[C@@H]1[C@@H]2C=C(C(C)(C)C)[C@@H](O2)[C@@]1(OC(C)=O)C(C)(C)C
119,Diels-Alder,CC(=O)OC=COC(C)=O.c1ccoc1>>CC(=O)OC1[C@H]2C=C[C@H](O2)[C@H]1OC(C)=O
120,Diels-Alder,CC(C)(C)C=C(c1ccccc1)C(C)(C)C.c1ccc(-c2ccoc2)cc1>>CC(C)(C)[C@@H]1[C@@H]2C=C(c3ccccc3)[C@@H](O2)[C@]1(c1ccccc1)C(C)(C)C
121,Diels-Alder,CC(C)(C)C=C(C=O)C(C)(C)C.O=Cc1ccoc1>>CC(C)(C)[C@@H]1[C@@H]2C=C(C=O)[C@@H](O2)[C@]1(C=O)C(C)(C)C
122,Diels-Alder,CC(C)(C)C=C(O)C(C)(C)C.Oc1ccoc1>>CC(C)(C)[C@@H]1[C@@H]2C=C(O)[C@@H](O2)[C@]1(O)C(C)(C)C
123,Diels-Alder,CC(C)(C)C=C(C#N)C(C)(C)C.N#Cc1ccoc1>>CC(C)(C)[C@@H]1[C@@H]2C=C(C#N)[C@@H](O2)[C@]1(C#N)C(C)(C)C
124,Diels-Alder,COC(=O)C(=CC(C)(C)C)C(C)(C)C.COC(=O)c1ccoc1>>COC(=O)C1=C[C@@H]2O[C@H]1[C@](C(=O)OC)(C(C)(C)C)[C@@H]2C(C)(C)C
125,Diels-Alder,CC(=O)OC(=CC(C)(C)C)C(C)(C)C.CC(=O)Oc1ccoc1>>CC(=O)OC1=C[C@@H]2O[C@H]1[C@](OC(C)=O)(C(C)(C)C)[C@@H]2C(C)(C)C
126,Diels-Alder,CC(C)(C)C=C(C(C)(C)C)C(C)(C)C.CC(C)(C)c1ccoc1>>CC(C)(C)C1=C[C@@H]2O[C@H]1C(C(C)(C)C)(C(C)(C)C)[C@@H]2C(C)(C)C
127,Diels-Alder,CC(C)(C)C=CC(C)(C)C.c1ccoc1>>CC(C)(C)C1[C@H]2C=C[C@H](O2)[C@H]1C(C)(C)C
128,Diels-Alder,C=Cc1ccccc1.c1ccc(-c2ccoc2)cc1>>C1=C(c2ccccc2)[C@H]2O[C@@H]1CC2c1ccccc1
129,Diels-Alder,C=CC=O.O=Cc1ccoc1>>O=CC1=C[C@H]2CC(C=O)[C@@H]1O2
130,Diels-Alder,C=CO.Oc1ccoc1>>OC1=C[C@H]2CC(O)[C@@H]1O2
131,Diels-Alder,C=CC#N.N#Cc1ccoc1>>N#CC1=C[C@H]2CC(C#N)[C@@H]1O2
132,Diels-Alder,C=CC(=O)OC.COC(=O)c1ccoc1>>COC(=O)C1=C[C@H]2CC(C(=O)OC)[C@@H]1O2
133,Diels-Alder,C=COC(C)=O.CC(=O)Oc1ccoc1>>CC(=O)OC1=C[C@H]2CC(OC(C)=O)[C@@H]1O2
134,Diels-Alder,C=CC(C)(C)C.CC(C)(C)c1ccoc1>>CC(C)(C)C1=C[C@H]2CC(C(C)(C)C)[C@@H]1O2
135,Diels-Alder,C=C.c1ccoc1>>C1=C[C@H]2CC[C@@H]1O2
136,Diels-Alder,C=Cc1ccccc1.CC(C)(C)C1=CC(=O)C(=O)C=C1>>CC(C)(C)C1=C[C@@H]2C[C@H](c3ccccc3)[C@H]1C(=O)C2=O
137,Diels-Alder,C=CC=O.CC(C)(C)C1=CC(=O)C(=O)C=C1>>CC(C)(C)C1=C[C@@H]2C[C@H](C=O)[C@H]1C(=O)C2=O
