,Type,Name,bhandhlyp-d3bj-DFT-forward,REF-forward,bhandhlyp-d3bj-DELTA-forward,bhandhlyp-d3bj-DFT-reverse,REF-reverse,bhandhlyp-d3bj-DELTA-reverse,bhandhlyp-d3bj-DFT-reaction,REF-reaction,bhandhlyp-d3bj-DELTA-reaction,cam-b3lyp-d3bj-DFT-forward,cam-b3lyp-d3bj-DELTA-forward,cam-b3lyp-d3bj-DFT-reverse,cam-b3lyp-d3bj-DELTA-reverse,cam-b3lyp-d3bj-DFT-reaction,cam-b3lyp-d3bj-DELTA-reaction,blyp-d3bj-DFT-forward,blyp-d3bj-DELTA-forward,blyp-d3bj-DFT-reverse,blyp-d3bj-DELTA-reverse,blyp-d3bj-DFT-reaction,blyp-d3bj-DELTA-reaction,b3lyp-d3bj-DFT-forward,b3lyp-d3bj-DELTA-forward,b3lyp-d3bj-DFT-reverse,b3lyp-d3bj-DELTA-reverse,b3lyp-d3bj-DFT-reaction,b3lyp-d3bj-DELTA-reaction,Range_DFT_forward,Std_DFT_forward,Range_DFT_reverse,Std_DFT_reverse,Range_DFT_reaction,Std_DFT_reaction
35,Diels-Alder,02_36,16.678,15.49,1.188,34.63,33.65,0.98,-17.952,-18.16,0.208,15.288,-0.202,33.321,-0.329,-18.032,0.128,10.905,-4.585,22.639,-11.011,-11.735,6.425,13.2,-2.29,28.281,-5.369,-15.082,3.078,5.7730000000000015,2.5198143284773984,11.991000000000003,5.4554731768503215,6.297000000000001,2.9784155043691722
36,Diels-Alder,02_37,18.599,17.0,1.599,36.169,34.43,1.739,-17.571,-17.43,-0.141,17.246,0.246,34.867,0.437,-17.621,-0.191,12.975,-4.025,24.507,-9.923,-11.533,5.897,15.193,-1.807,30.022,-4.408,-14.829,2.601,5.6240000000000006,2.456905150116029,11.661999999999995,5.29702673676469,6.087999999999999,2.882434329983368
37,Diels-Alder,02_38,28.562,22.73,5.832,38.459,36.09,2.369,-9.896,-13.36,3.464,24.795,2.065,35.77,-0.32,-10.976,2.384,14.494,-8.236,17.664,-18.426,-3.17,10.19,19.537,-3.193,26.888,-9.202,-7.351,6.009,14.068000000000001,6.142329579782143,20.795,9.42227026340609,7.806000000000001,3.4693602075887138
38,Diels-Alder,02_39,44.12,37.42,6.7,42.358,39.32,3.038,1.762,-1.9,3.662,39.774,2.354,39.461,0.141,0.313,2.213,29.448,-7.972,21.891,-17.429,7.557,9.457,34.591,-2.829,30.792,-8.528,3.8,5.7,14.671999999999997,6.356737600111133,20.467,9.238268759170554,7.244000000000001,3.1435757771472073
39,Diels-Alder,02_40,18.588,14.26,4.328,27.423,27.77,-0.347,-8.835,-13.51,4.675,18.521,4.261,25.054,-2.716,-6.533,6.977,14.962,0.702,9.897,-17.873,5.065,18.575,15.764,1.504,17.301,-10.469,-1.537,11.973,3.6260000000000012,1.8716764989352912,17.525999999999996,7.957651428028246,13.900000000000002,6.156500845989276
40,Diels-Alder,02_41,34.229,28.06,6.169,31.881,31.78,0.101,2.348,-3.72,6.068,33.563,5.503,28.4,-3.38,5.163,8.883,29.094,1.034,11.942,-19.838,17.152,20.872,30.649,2.589,20.15,-11.63,10.499,14.219,5.134999999999998,2.424004314490109,19.939,8.914393655768182,14.804000000000002,6.519156821757448
41,Diels-Alder,02_42,12.837,8.58,4.257,47.743,47.74,0.003,-34.906,-39.15,4.244,11.862,3.282,46.481,-1.259,-34.619,4.531,5.487,-3.093,31.197,-16.543,-25.71,13.44,7.832,-0.748,38.443,-9.297,-30.612,8.538,7.35,3.4448476018541085,16.546000000000003,7.705881822781004,9.195999999999998,4.30642112625631
42,Diels-Alder,02_43,21.606,16.35,5.256,49.614,48.76,0.854,-28.007,-32.41,4.403,20.09,3.74,47.957,-0.803,-27.866,4.544,12.077,-4.273,31.064,-17.696,-18.987,13.423,15.428,-0.922,39.236,-9.524,-23.808,8.602,9.529000000000002,4.36309709380848,18.549999999999997,8.576916243615766,9.020000000000003,4.257913495285377
43,Diels-Alder,02_44,21.124,16.64,4.484,54.445,53.18,1.265,-33.322,-36.54,3.218,19.507,2.867,51.731,-1.449,-32.224,4.316,11.312,-5.328,34.151,-19.029,-22.84,13.7,14.805,-1.835,43.043,-10.137,-28.238,8.302,9.812,4.474815377942052,20.293999999999997,9.187052682988162,10.482000000000003,4.743513465776186
44,Diels-Alder,02_45,19.692,16.98,2.712,60.099,59.46,0.639,-40.407,-42.48,2.073,18.874,1.894,58.506,-0.954,-39.632,2.848,12.24,-4.74,42.447,-17.013,-30.207,12.273,14.604,-2.376,50.381,-9.079,-35.777,6.703,7.452,3.534597148191007,17.651999999999994,8.141589417920802,10.199999999999996,4.661849373728555
45,Diels-Alder,02_46,32.235,26.48,5.755,52.053,51.36,0.693,-19.818,-24.88,5.062,29.837,3.357,50.066,-1.294,-20.229,4.651,22.31,-4.17,30.681,-20.679,-8.371,16.509,25.509,-0.971,39.948,-11.412,-14.439,10.441,9.925,4.426398263072736,21.371999999999996,9.87957073966273,11.857999999999999,5.560974577356023
46,Diels-Alder,02_47,-0.39,-1.34,0.95,89.257,88.51,0.747,-89.647,-89.85,0.203,-1.121,0.219,86.694,-1.816,-87.815,2.035,-5.376,-4.036,75.191,-13.319,-80.567,9.283,-3.374,-2.034,81.022,-7.488,-84.396,5.454,4.986000000000001,2.263622668055198,14.066000000000003,6.263170815702433,9.080000000000013,4.002706698806034
47,Diels-Alder,02_48,2.42,1.98,0.44,88.133,86.44,1.693,-85.714,-84.47,-1.244,1.757,-0.223,85.121,-1.319,-83.363,1.107,-2.819,-4.799,68.189,-18.251,-71.008,13.462,-1.001,-2.981,76.868,-9.572,-77.869,6.601,5.239,2.439969176717881,19.944000000000003,8.962259662049522,14.706000000000003,6.539884326194158
48,Diels-Alder,02_49,17.387,13.95,3.437,47.072,47.2,-0.128,-29.685,-33.24,3.555,15.958,2.008,45.773,-1.427,-29.815,3.425,7.276,-6.674,25.82,-21.38,-18.544,14.696,10.627,-3.323,35.063,-12.137,-24.436,8.804,10.111,4.69927164569149,21.252000000000002,9.982527836174565,11.271,5.341469273523906
49,[3+2]cycloaddition,02_50,24.369,18.44,5.929,37.73,35.48,2.25,-13.361,-17.04,3.679,21.938,3.498,33.64,-1.84,-11.703,5.337,19.74,1.3,16.691,-18.789,3.048,20.088,21.154,2.714,25.74,-9.74,-4.587,12.453,4.629000000000001,1.9390479407860621,21.038999999999998,9.285700130666866,16.409,7.502832815010608
